fecha,ECOPETROL.CL,BOGOTA.CL,GRUPOSURA.CL,ISA.CL,ICOLCAP.CL
2018-01-02,895,37694,31477,9192,10561
2018-01-03,931,37437,31083,9257,10686
2018-01-04,931,37437,31083,9257,10747
2018-01-05,990,37996,31587,9231,10824
2018-01-09,1012,37873,32516,9283,10858
2018-01-10,1004,37437,31791,9283,10892
2018-01-11,960,36878,31477,9309,10785
2018-01-12,960,36878,31477,9309,10754
2018-01-15,925,36845,31162,9270,10673
2018-01-16,958,37381,31980,9361,10824
2018-01-17,958,37381,31980,9361,10858
2018-01-18,958,37381,31980,9361,10914
2018-01-19,976,37984,32122,9478,10928
2018-01-22,1026,37996,32122,9452,10982
2018-01-23,1071,37727,32232,9439,11027
2018-01-24,1109,38052,32500,9374,11245
2018-01-25,1087,38052,32358,9413,11218
2018-01-26,1093,38186,32280,9361,11243
2018-01-29,1099,38119,32752,9426,11230
2018-01-30,1069,37973,32469,9361,11170
2018-01-31,1053,37412,31587,9296,11142
2018-02-01,1097,37031,32043,9413,11160
2018-02-02,1055,37109,32122,9556,11071
2018-02-06,990,37794,31177,9244,10815
2018-02-07,962,37132,31492,9335,10773
2018-02-08,925,37244,30941,9218,10707
2018-02-09,968,37019,30233,9101,10671
2018-02-12,958,37019,30154,9036,10733
2018-02-13,944,37558,30091,8919,10651
2018-02-14,990,37132,30201,8958,10692
2018-02-15,986,37132,30548,8945,10718
2018-02-16,984,37188,31099,8919,10770
2018-02-19,982,37076,31351,8802,10692
2018-02-20,984,37289,31020,8646,10752
2018-02-21,980,37580,31225,8841,10777
2018-02-22,1016,37311,31099,8932,10837
2018-02-23,1039,37458,31083,8971,10853
2018-02-26,1051,37536,31099,8971,10807
2018-02-27,1041,37458,30862,9075,10721
2018-02-28,994,37176,30248,8906,10519
2018-03-06,992,37548,30705,8802,10450
2018-03-07,970,37728,30406,8711,10438
2018-03-08,980,37728,30437,8659,10446
2018-03-09,992,37840,30311,8581,10475
2018-03-12,982,38009,30500,8581,10432
2018-03-14,992,37998,29760,8438,10354
2018-03-15,1004,38291,29524,8334,10383
2018-03-16,1004,38291,29524,8334,10429
2018-03-20,1057,38257,29524,8412,10473
2018-03-21,1089,38257,29697,8451,10539
2018-03-22,1037,38122,29556,8620,10363
2018-03-23,1037,38275,29658,8620,10362
2018-03-26,1099,38275,29247,8503,10409
2018-03-27,1047,38275,28899,8503,10365
2018-03-28,1047,38275,28899,8503,10252
2018-04-02,1065,38410,29737,8724,10400
2018-04-03,1081,38444,30416,8880,10554
2018-04-04,1085,39439,29879,8815,10606
2018-04-05,1085,39292,30053,9023,10719
2018-04-06,1085,39292,30053,9023,10708
2018-04-09,1087,39032,30021,9309,10867
2018-04-10,1105,39236,30005,9374,10928
2018-04-11,1180,39258,30021,9179,11068
2018-04-12,1170,39055,30021,9179,10993
2018-04-13,1188,39055,30021,9179,10975
2018-04-16,1110,39179,30021,9088,10910
2018-04-17,1154,39123,30100,9348,11008
2018-04-18,1180,38783,30290,9556,11108
2018-04-19,1218,39236,30306,9647,11161
2018-04-20,1218,39236,30306,9647,11112
2018-04-23,1240,39179,30558,9816,11183
2018-04-24,1230,39236,30590,9426,11097
2018-04-25,1224,39389,30558,9686,11086
2018-04-26,1210,39389,30622,9517,11064
2018-04-27,1210,39389,30622,9517,11162
2018-04-30,1246,39446,30795,9413,11146
2018-05-02,1248,39730,30290,9309,11167
2018-05-03,1244,39730,29879,9088,11138
2018-05-04,1244,39730,29879,9088,11045
2018-05-07,1218,39014,29942,9036,11014
2018-05-08,1240,39014,29705,8945,10956
2018-05-09,1270,39718,29974,8984,11101
2018-05-10,1246,39707,29832,9153,11055
2018-05-11,1246,39707,29832,9153,11115
2018-05-15,1323,39673,30021,9400,11202
2018-05-16,1288,39661,29847,9153,11051
2018-05-17,1274,39673,29263,8971,10930
2018-05-18,1274,39673,29263,8971,10844
2018-05-21,1256,39559,28994,9036,10859
2018-05-22,1250,39559,29263,9127,10868
2018-05-23,1216,39559,29279,9270,10887
2018-05-24,1236,39559,29231,9192,10879
2018-05-25,1236,39559,29231,9192,10917
2018-05-28,1166,39713,28963,9088,10882
2018-05-29,1218,39873,29073,9140,10986
2018-05-30,1254,39531,29373,9101,11049
2018-05-31,1242,39873,29326,9205,11031
2018-06-01,1242,39873,29326,9205,11113
2018-06-05,1238,39542,29721,9348,11125
2018-06-06,1212,39542,29642,9361,11077
2018-06-07,1230,39827,29547,9465,11068
2018-06-08,1230,39827,29547,9465,11032
2018-06-12,1208,39428,29263,9595,11040
2018-06-13,1210,39314,29389,9491,11070
2018-06-14,1208,38824,29326,9374,11070
2018-06-15,1208,38824,29326,9374,11024
2018-06-18,1200,39303,29516,9179,11113
2018-06-19,1168,38744,29026,8919,10989
2018-06-20,1156,39303,29026,8867,10985
2018-06-21,1144,38824,28915,8906,10957
2018-06-22,1144,38824,28915,8906,10952
2018-06-25,1134,38972,28662,9036,10887
2018-06-26,1160,39447,28971,9270,11022
2018-06-27,1194,39264,29019,9244,11095
2018-06-28,1200,38898,29209,9361,11124
2018-06-29,1200,38898,29209,9361,11356
2018-07-03,1178,39012,29621,9114,11312
2018-07-04,1178,39035,29843,9426,11213
2018-07-05,1164,39413,29875,9426,11233
2018-07-06,1164,39413,29875,9606,11224
2018-07-09,1206,39241,29146,9381,11150
2018-07-10,1214,39424,29241,9420,11175
2018-07-11,1188,39356,29241,9314,11130
2018-07-12,1184,39253,29225,9235,11135
2018-07-13,1184,39253,29225,9235,11102
2018-07-16,1182,39699,29368,9381,11102
2018-07-17,1190,39745,29637,9394,11120
2018-07-18,1192,39653,29574,9434,11096
2018-07-19,1192,39653,29574,9434,11096
2018-07-23,1194,39333,29241,9487,11123
